WS_HH, Ti_HH, Shear, WS_Eq, RSS, Power_mean, Power_std
9.4055, 26.3144, 0.429427, 9.38952, 0.014538, 869.855, 362.292
6.19517, 21.703, 0.414201, 6.21101, 0.0130788, 261.222, 108.646
4.03322, 35.6918, 0.392454, 4.0534, 0.00404732, 79.5682, 48.9111
18.6302, 32.6883, 0.216381, 18.5727, 0.0808718, 1417.03, 213.194
12.1009, 29.9182, -0.312701, 12.2258, 0.0318737, 1290.95, 275.198
18.5389, 6.32225, -0.222935, 18.7092, 0.00320411, 1489.18, 31.3249
4.04794, 8.75759, 0.318978, 4.03155, 0.00171771, 70.5833, 13.7552
18.4239, 17.5186, 0.438158, 18.4493, 0.0284464, 1472.58, 83.8027
3.84986, 22.2684, -0.104203, 3.86369, 0.000904604, 65.3035, 26.8235
13.9826, 22.4683, 0.153648, 13.9983, 0.0118056, 1454, 116.562
18.4742, 29.4983, -0.317796, 18.7589, 0.0629798, 1441.1, 162.986
5.63974, 24.7577, 0.431398, 5.69891, 0.0109648, 210.102, 106.321
10.8435, 27.6001, -0.265828, 10.9268, 0.0256755, 1159.21, 336.321
19.6309, 15.1559, 0.00487688, 19.6206, 0.0175853, 1474.43, 77.5179
14.9951, 10.4626, -0.349266, 15.3101, 0.0121673, 1485.69, 40.8368
9.02544, 35.8375, -0.211458, 9.10556, 0.0209596, 783.501, 464.372
21.0181, 14.7213, 0.421268, 21.036, 0.0225653, 1473.59, 79.0258
10.7856, 13.0794, -0.24739, 10.8864, 0.00682199, 1285.64, 196.074
16.8061, 23.2637, -0.144517, 16.8862, 0.0311075, 1460.09, 112.979
19.7882, 19.9158, 0.0644864, 19.75, 0.02918, 1467.63, 101.512
4.63111, 6.85271, 0.029222, 4.62201, 0.000226358, 107.178, 16.8802
15.5815, 23.2196, -0.473622, 16.1456, 0.075255, 1466.62, 98.6083
10.4859, 11.7114, 0.291423, 10.457, 0.00523153, 1188.65, 208.822
10.1312, 25.6453, -0.323844, 10.2543, 0.0198659, 1050.58, 345.514
16.3297, 15.4198, 0.150565, 16.2858, 0.0154965, 1478.1, 67.5421
18.8524, 32.4046, -0.0468741, 18.8626, 0.0627405, 1421.24, 205.89
4.78409, 13.5198, 0.413127, 4.77595, 0.000890728, 118.766, 37.1214
6.65786, 34.832, 0.0531407, 6.64179, 0.0454579, 339.496, 233.468
5.58014, 38.7054, -0.444936, 5.77959, 0.0428123, 236.832, 179.424
4.7944, 19.8621, -0.247202, 4.82467, 0.00241854, 126.257, 57.5377
7.01759, 15.5441, -0.346215, 7.14138, 0.0033316, 396.64, 130.155
6.192, 36.6164, 0.0632978, 6.23306, 0.0232917, 299.791, 219.608
15.0536, 10.7127, 0.350402, 15.0922, 0.0130378, 1485, 42.9055
16.8327, 18.7752, 0.0115746, 16.8201, 0.0217844, 1473.6, 84.4732
11.8836, 8.2195, -0.259554, 12.0112, 0.00326385, 1484.98, 36.9157
5.69415, 12.51, -0.261199, 5.78696, 0.00175369, 211.057, 55.5813
12.216, 7.14822, 0.401461, 12.2162, 0.00252194, 1489.77, 27.9678
11.1689, 37.2605, -0.122812, 11.1251, 0.0537318, 1097.31, 408.297
5.56812, 34.2155, -0.109108, 5.64234, 0.0181906, 218.321, 148.551
8.38451, 20.8539, -0.388504, 8.56156, 0.00775622, 692.633, 306.239
6.15283, 38.3266, 0.382975, 6.20671, 0.0378468, 296.106, 227.159
15.6119, 7.33986, -0.264835, 15.8302, 0.00613587, 1489.37, 29.8428
11.4149, 35.0666, -0.447949, 11.6384, 0.0280253, 1175.82, 361.058
3.99779, 11.5546, 0.151454, 3.96699, 0.00174677, 67.6979, 14.721
19.6437, 29.2727, -0.0478009, 19.6536, 0.0542931, 1445.05, 158.434
15.0178, 16.6397, 0.240123, 15.0586, 0.0313476, 1476.49, 68.2302
7.34011, 31.1591, -0.287508, 7.43955, 0.0127561, 478.791, 309.096
11.5247, 28.9462, 0.258829, 11.455, 0.0281411, 1214.21, 318.796
4.84078, 37.2966, 0.24543, 4.77747, 0.0169938, 136.234, 115.588
13.9085, 22.1063, -0.0394363, 13.9717, 0.010948, 1456.51, 111.78
10.005, 24.9372, 0.00789229, 9.96818, 0.0209453, 1001.75, 347.987
11.9934, 34.7651, 0.0244796, 11.9083, 0.0510751, 1204.48, 346.468
11.5373, 38.2531, 0.310933, 11.4401, 0.0314882, 1119.25, 402.23
15.2836, 28.7702, 0.0820417, 15.3921, 0.102925, 1430.76, 162.332
7.59882, 16.9727, -0.0234895, 7.60227, 0.00370489, 485.657, 178.214
8.40576, 36.0471, -0.265592, 8.51043, 0.0200782, 686.452, 449.466
7.97451, 11.839, -0.267443, 8.07043, 0.00219725, 569.435, 144.87
12.6893, 17.3735, 0.424403, 12.7433, 0.00614951, 1445, 118.531
12.5581, 12.5832, 0.400456, 12.5514, 0.00723459, 1476.6, 57.9637
8.75067, 21.0102, 0.0991366, 8.73241, 0.00647272, 741.656, 333.871
8.94446, 28.0614, 0.209416, 8.92164, 0.0123756, 777.209, 416.401
7.87604, 9.72648, -0.199884, 7.93887, 0.00143663, 541.335, 113.555
10.2216, 21.8594, 0.00586269, 10.1916, 0.0168433, 1067.38, 317.293
4.81891, 14.7816, 0.299268, 4.79738, 0.00112164, 121.596, 41.654
3.92703, 37.452, 0.216848, 3.93647, 0.00613174, 73.8828, 47.4082
14.0778, 27.3007, -0.234843, 14.2787, 0.0188975, 1432.07, 155.647
13.9279, 39.3792, 0.0661225, 13.9674, 0.0597, 1303.8, 316.899
14.4318, 14.1185, -0.0113868, 14.4953, 0.0207101, 1480.99, 55.5996
17.2458, 30.2569, -0.0988731, 17.2914, 0.0500502, 1422.61, 197.612
12.0184, 39.4328, -0.41176, 12.1845, 0.033015, 1180.89, 375.336
5.20819, 15.7478, -0.176997, 5.22277, 0.000307445, 156.498, 60.9424
17.9884, 10.4958, 0.218882, 17.9415, 0.00854617, 1483.04, 49.8727
5.41207, 30.2782, -0.0133211, 5.4668, 0.0128921, 193.84, 117.673
7.34446, 6.26202, 0.245725, 7.32879, 0.000513358, 422.9, 57.6029
14.2409, 23.7371, 0.400643, 14.3026, 0.0143854, 1451.97, 122.933
16.8358, 28.2517, 0.331717, 16.8113, 0.0635271, 1430.37, 178.291
8.66366, 37.2452, -0.41348, 8.87612, 0.0297055, 739.796, 464.912
13.8244, 11.7597, 0.480809, 13.8956, 0.00299106, 1487.18, 40.1481
19.0028, 24.2599, -0.0294819, 19.0052, 0.0379888, 1463.97, 119.798
4.53921, 30.1377, -0.440871, 4.61982, 0.0228409, 113.025, 75.6477
4.51973, 24.2133, -0.409842, 4.59609, 0.00342814, 110.498, 60.866
6.48413, 29.9333, 0.0329122, 6.48559, 0.029191, 309.423, 180.463
13.1688, 21.9831, 0.326522, 13.2009, 0.0107907, 1429.92, 149.441
4.7858, 9.88522, -0.332499, 4.85599, 0.000557678, 123.879, 27.7337
12.3101, 35.3217, 0.263055, 12.2122, 0.0387652, 1225.56, 335.85
4.44552, 20.233, 0.0196062, 4.41711, 0.0107259, 96.4693, 44.3449
12.6644, 29.9462, 0.116326, 12.5818, 0.0387277, 1321.3, 255.354
9.62515, 22.1524, -0.473506, 9.873, 0.012967, 984.247, 324.912
11.2836, 13.1318, -0.0107617, 11.2715, 0.00747984, 1359.98, 162.148
11.292, 38.5839, 0.345057, 11.2054, 0.0259815, 1090.13, 415.676
4.40542, 31.9676, -0.22599, 4.40888, 0.0270322, 100.673, 72.1192
12.6758, 26.2516, 0.416097, 12.6518, 0.0212454, 1364.35, 209.262
13.2068, 39.2557, -0.17935, 13.1763, 0.0685056, 1261.43, 328.03
18.9787, 29.8664, 0.0342628, 18.9462, 0.0550034, 1437.27, 171.355
18.9109, 29.8717, -0.302509, 19.1801, 0.0655196, 1441.24, 164.14
6.10828, 39.546, -0.293497, 6.23629, 0.0389097, 303.421, 238.23
3.84387, 26.737, 0.370154, 3.84778, 0.00134408, 65.3087, 31.2344
17.7784, 12.6173, -0.130618, 17.8548, 0.0112895, 1480.26, 59.2581
14.0058, 39.8607, -0.271913, 14.2575, 0.094472, 1318.2, 304.891
7.26347, 21.8563, -0.0104905, 7.2635, 0.00554875, 431.132, 201.798
5.7012, 28.0701, -0.267553, 5.82391, 0.0123851, 229.417, 129.091
11.8462, 27.4914, -0.238813, 11.9187, 0.0289966, 1285.47, 270.527
9.73672, 28.7186, -0.225782, 9.78324, 0.0248398, 942.417, 377.859
10.9217, 27.5566, -0.376775, 11.0949, 0.0231442, 1183.11, 326.512
8.90562, 27.7676, -0.44806, 9.14318, 0.0167897, 816.332, 411.115
12.5249, 17.5919, -0.333669, 12.7085, 0.0136266, 1454.38, 95.2913
6.99104, 21.6764, -0.389675, 7.13941, 0.00660015, 403.347, 182.381
10.6534, 34.0278, -0.0312749, 10.5942, 0.0424816, 1052.8, 400.524
3.82194, 12.1144, 0.224806, 3.81206, 0.000305435, 60.382, 14.5315
13.4565, 11.1578, -0.151709, 13.557, 0.00245232, 1488.21, 37.2761
16.4139, 12.6529, 0.23495, 16.3718, 0.011145, 1481.47, 55.5509
8.76273, 38.1043, -0.192649, 8.83428, 0.0228505, 732.358, 472.617
19.9055, 12.569, -0.211287, 20.073, 0.012765, 1478.28, 65.1052
5.13156, 27.7342, 0.148554, 5.08524, 0.000994237, 152.982, 112.503
15.0625, 21.5871, 0.13969, 15.1245, 0.0532139, 1464.92, 99.9582
17.7821, 30.2588, 0.123189, 17.7301, 0.0558469, 1426.02, 191.511
8.1953, 9.79704, 0.109763, 8.17888, 0.00141284, 592.724, 127.144
13.1067, 22.9641, 0.169046, 13.1228, 0.0115792, 1419.65, 164.153
20.1282, 18.79, 0.156601, 20.0709, 0.0279776, 1468.61, 97.275
12.9151, 35.5952, 0.287549, 12.8174, 0.0382242, 1275.85, 305.83
8.82109, 28.4456, 0.0873666, 8.80321, 0.0119177, 755.123, 413.905
15.3644, 36.8959, -0.205731, 15.7, 0.226821, 1383.14, 238.618
10.0485, 9.9901, 0.436767, 10.0562, 0.00353067, 1072.7, 189.653
17.4734, 23.4937, 0.131833, 17.4242, 0.0350479, 1461.44, 112.966
15.1849, 29.6404, 0.041485, 15.3086, 0.109733, 1423.61, 172.848
19.2179, 25.0364, 0.464324, 19.2627, 0.0739803, 1462.22, 123.56
7.80742, 9.26514, -0.386662, 7.97132, 0.00140807, 542.372, 106.988
4.51744, 20.4286, -0.0567328, 4.49849, 0.0112835, 101.927, 47.2615
11.6298, 33.3508, 0.111831, 11.5395, 0.0428352, 1180.66, 354.457
7.22353, 10.5992, 0.198616, 7.20615, 0.00140119, 405.609, 93.4157
5.17356, 25.8742, 0.00536163, 5.13943, 0.000964675, 156.438, 106.28
18.432, 32.1935, 0.0164576, 18.4087, 0.0607506, 1418.84, 209.366
10.7155, 11.2198, 0.085052, 10.6858, 0.00517034, 1257.59, 189.984
8.7603, 6.79727, 0.256519, 8.74255, 0.000745108, 716.633, 107.034
8.42446, 22.295, 0.189455, 8.40273, 0.00699151, 665.716, 322.735
11.4425, 32.5237, -0.101453, 11.4145, 0.0414911, 1177.04, 352.812
18.6397, 31.0559, -0.0550666, 18.6551, 0.0570135, 1428.43, 190.521
3.49223, 18.1377, -0.065624, 3.4982, 0.000595933, 47.725, 16.2021
8.95714, 12.8457, 0.322938, 8.94677, 0.00266351, 773.742, 219.051
13.3155, 36.8361, -0.102402, 13.2593, 0.0649367, 1296.46, 295.895
20.1475, 20.5258, 0.297084, 20.1048, 0.0371842, 1466.18, 105.506
19.8154, 19.8027, -0.278411, 20.063, 0.0296337, 1468.08, 100.307
18.0064, 22.0317, 0.319137, 17.9751, 0.038637, 1468.1, 104.588
15.1391, 31.6851, 0.455716, 15.3476, 0.170002, 1406.45, 197.665
9.52113, 21.5195, -0.036116, 9.50421, 0.0148755, 917.259, 325.955
6.9576, 19.2672, -0.429795, 7.13, 0.00540506, 397.045, 159.517
14.4762, 18.1652, -0.319056, 14.782, 0.0365808, 1474.44, 74.5046
7.96271, 37.9075, 0.168773, 7.95008, 0.0214433, 582.224, 425.484
14.0635, 38.0021, -0.327293, 14.375, 0.0828236, 1345.16, 276.062
7.18384, 28.0643, -0.181597, 7.23319, 0.0092511, 436.271, 256.782
5.93333, 13.6647, 0.385957, 5.96397, 0.0025943, 230.641, 66.9684
4.5137, 14.0171, -0.454611, 4.62201, 0.00106458, 107.149, 34.0563
12.7238, 5.57868, 0.399748, 12.7433, 0.000607974, 1493.63, 19.0888
7.32171, 8.78062, -0.189646, 7.37606, 0.00107481, 433.786, 81.7535
13.0568, 9.12483, 0.497978, 13.1274, 0.00168069, 1489.93, 31.2239
10.4393, 17.0417, -0.432547, 10.678, 0.00975194, 1196.93, 251.056
9.58918, 7.03749, 0.00509103, 9.58156, 0.00183558, 944.059, 118.409
4.779, 32.7569, 0.376932, 4.73844, 0.0092078, 128.243, 96.1016
14.699, 9.29603, 0.32402, 14.7231, 0.00944025, 1487.08, 36.6613
10.5711, 16.9081, 0.240853, 10.5292, 0.0103975, 1172.06, 259.882
3.20572, 6.98424, 0.174139, 3.20078, 0.000165006, 35.4945, 5.68304
16.5798, 25.1275, 0.216354, 16.5312, 0.0402292, 1446.37, 141.653
18.6212, 26.2129, -0.100268, 18.67, 0.0422723, 1456.11, 130.91
4.63327, 33.3188, -0.161208, 4.61982, 0.0318044, 117.025, 87.6552
16.9752, 32.1812, -0.364966, 17.3096, 0.0791492, 1413.35, 217.749
5.85168, 26.6421, -0.0211545, 5.9053, 0.0102536, 239.34, 129.939
4.15753, 7.8108, -0.41281, 4.2444, 0.00156799, 81.5494, 13.925
6.01247, 32.5349, -0.370272, 6.19169, 0.0217167, 281.258, 180.19
5.64857, 29.8471, -0.168851, 5.7389, 0.013589, 222.771, 133.099
18.0424, 32.4265, 0.0735626, 18, 0.0621438, 1413.83, 218.365
19.3691, 14.3675, 0.230639, 19.3179, 0.0169534, 1475.92, 72.4985
11.2509, 19.775, 0.179067, 11.1991, 0.0153072, 1275.09, 245.466
16.8306, 33.5984, -0.12096, 16.895, 0.0612172, 1394.7, 248.812
7.52751, 8.50787, 0.273749, 7.5134, 0.000960601, 456.405, 84.6524
7.5781, 20.318, 0.0571155, 7.56691, 0.00506976, 484.312, 212.469
8.21849, 29.5036, -0.00469959, 8.217, 0.0115153, 635.532, 382.434
6.61126, 33.6256, -0.351777, 6.73943, 0.0384654, 347.915, 225.167
9.5633, 14.7147, 0.0296041, 9.54126, 0.00737795, 936.787, 247.386
5.08267, 21.3508, -0.405265, 5.16922, 0.000657037, 152.899, 82.3578
5.59486, 34.335, -0.199088, 5.69461, 0.0196063, 223.663, 152.005
17.3224, 38.225, -0.0573596, 17.3546, 0.0846979, 1359.92, 300.465
18.9985, 32.7025, -0.0630033, 19.0194, 0.0646986, 1420.64, 207.812
17.4449, 9.42756, 0.430387, 17.4658, 0.00739043, 1484.99, 43.6309
7.14217, 15.6308, 0.299021, 7.13058, 0.0029324, 396.498, 134.184
14.2846, 33.7197, -0.0754824, 14.3818, 0.0340682, 1383.56, 230.944
8.99755, 6.50519, 0.174953, 8.97647, 0.000711916, 777.559, 111.3
12.7325, 22.8104, 0.104673, 12.6729, 0.0239138, 1403.67, 162.696
4.39519, 17.1372, 0.261543, 4.36335, 0.00712352, 91.6228, 35.532
18.3527, 10.0543, -0.368246, 18.7078, 0.00796043, 1483.62, 48.5683
5.0345, 5.46499, -0.0820166, 5.04058, 2.70415e-005, 138.107, 17.2921
18.0363, 31.633, 0.0266443, 18.0099, 0.0574629, 1419.89, 205.985
5.45057, 29.5337, -0.360663, 5.60981, 0.014622, 205.493, 120.221
5.93537, 9.07284, -0.358916, 6.06637, 0.000910268, 239.898, 45.9931
6.70618, 12.8968, -0.177446, 6.75118, 0.00201316, 335.727, 92.2744
10.0508, 13.9234, -0.247351, 10.1433, 0.00696443, 1098.04, 243.317
7.06554, 13.506, -0.415734, 7.23151, 0.00267818, 407.752, 115.802
9.96282, 11.8802, 0.120961, 9.93029, 0.00519115, 1049.56, 221.05
11.7723, 8.14068, 0.183275, 11.7359, 0.0031724, 1470.95, 53.2064
12.8409, 39.2682, -0.0920134, 12.7603, 0.0730578, 1228.34, 349.543
16.6921, 11.1868, -0.118472, 16.7553, 0.00845358, 1483.29, 49.762
6.80507, 32.9508, 0.354508, 6.79832, 0.0390312, 358.782, 234.07
11.1869, 30.9255, -0.196207, 11.2153, 0.0345967, 1169.07, 350.401
15.0795, 35.7605, 0.0901907, 15.2383, 0.180061, 1375.43, 246.272
10.512, 17.1129, -0.0476672, 10.5059, 0.01112, 1168.95, 261.663
12.5005, 19.3833, 0.0559459, 12.458, 0.0175492, 1421.94, 134.621
19.5837, 21.5309, -0.0699614, 19.6145, 0.0321094, 1466, 108.32
5.7311, 6.06395, -0.211078, 5.79353, 0.000373204, 209.507, 27.1424
10.3905, 29.9156, 0.418099, 10.3622, 0.0185233, 1040.72, 376.132
19.3878, 9.29099, 0.179972, 19.3366, 0.00723559, 1483.69, 47.6094
13.253, 13.5099, -0.390121, 13.5676, 0.00366957, 1485.48, 45.6773
18.6232, 36.4868, 0.013436, 18.6061, 0.0804672, 1391.07, 264.706
18.5022, 11.1745, 0.448559, 18.5349, 0.0112859, 1481.51, 54.2375
15.1308, 30.7606, -0.433617, 15.6736, 0.156798, 1429.06, 165.754
14.5425, 17.7796, 0.0450877, 14.6033, 0.0335749, 1473.73, 76.1713
12.0121, 21.4772, -0.312266, 12.1608, 0.0183765, 1375.98, 182.655
8.61091, 5.84242, 0.425058, 8.62249, 0.00053815, 680.555, 87.1286
12.7589, 15.295, 0.256786, 12.7656, 0.0046657, 1462.08, 89.5111
8.02453, 7.59872, 0.269038, 8.00918, 0.00083206, 551.917, 91.7576
18.3801, 31.3993, 0.127775, 18.3247, 0.062798, 1422.88, 200.585
12.4444, 20.5589, 0.305686, 12.3991, 0.0172825, 1403.65, 156.697
10.574, 34.9098, 0.251771, 10.4878, 0.0330543, 1027.59, 409.63
16.4813, 20.1237, -0.35017, 16.7765, 0.0258223, 1473.02, 88.6857
3.63692, 21.581, -0.295935, 3.68823, 0.00079579, 56.254, 22.0897
19.1564, 19.5327, 0.33023, 19.1277, 0.0329139, 1469.05, 96.6375
7.97526, 19.7308, -0.398851, 8.15077, 0.00656315, 595.104, 248.276
17.132, 12.2249, -0.451744, 17.5908, 0.0111017, 1481.7, 55.1577
19.0782, 18.6731, 0.155307, 19.0242, 0.026049, 1470.21, 92.4459
11.8774, 28.9931, -0.456309, 12.1463, 0.0241883, 1292.68, 269.584
15.7725, 25.4531, -0.216184, 16.0316, 0.0823451, 1458.36, 118.921
8.5587, 22.6287, -0.257965, 8.6554, 0.00824996, 722.544, 342.4
14.7411, 8.42127, 0.30076, 14.7556, 0.00771257, 1488.2, 33.2909
3.55741, 30.8639, 0.273257, 3.55842, 0.00208487, 52.934, 28.104
15.2361, 37.3578, 0.348211, 15.4437, 0.241478, 1365.04, 260.986
16.8022, 10.5362, -0.280982, 17.0175, 0.00776047, 1484.17, 47.0939
6.99997, 6.72094, -0.390877, 7.14942, 0.000652129, 390.048, 55.2765
17.5683, 37.6263, -0.125354, 17.6485, 0.0879283, 1371.16, 288.814
13.0399, 39.2948, 0.359954, 12.9452, 0.0276073, 1239.87, 340.739
10.8385, 30.1856, -0.243971, 10.8982, 0.0306233, 1131.92, 359.659
9.91338, 30.7976, 0.0217189, 9.85697, 0.0312213, 948.241, 392.877
12.481, 28.143, 0.232781, 12.4058, 0.0307294, 1324.48, 246.685
15.969, 26.2413, 0.0795717, 16.0651, 0.0865161, 1454, 128.419
14.2812, 8.35814, 0.223255, 14.2682, 0.00153305, 1490.54, 28.7205
11.3536, 36.8903, -0.046728, 11.2802, 0.0551349, 1118.8, 398.669
12.2034, 13.8931, -0.371211, 12.4246, 0.0086134, 1467.51, 70.7807
10.2705, 32.2476, 0.253815, 10.1965, 0.028782, 999.006, 397.349
18.2654, 5.43579, 0.342168, 18.2476, 0.00249139, 1490.69, 26.4534
11.8387, 31.5052, 0.20732, 11.7534, 0.0355798, 1221.78, 324.116
7.95687, 15.7028, 0.175687, 7.93714, 0.00332503, 548.98, 188.01
13.8744, 28.8864, -0.232726, 14.0735, 0.0218214, 1413.95, 182.438
7.16464, 35.8303, 0.253451, 7.15565, 0.0162186, 437.176, 326.871
5.27978, 24.549, -0.318505, 5.32893, 0.000992822, 171.208, 108.187
15.6079, 33.8489, -0.170149, 15.8836, 0.170385, 1408.8, 200.701
6.97127, 18.4697, -0.27961, 7.06014, 0.004389, 388.356, 151.457
15.0232, 37.8391, 0.135871, 15.0537, 0.0551168, 1369.84, 257.253
5.30289, 20.7944, -0.454072, 5.41766, 0.000656436, 174.959, 90.9295
14.229, 21.9491, 0.491384, 14.3317, 0.0121772, 1461.52, 103.455
6.02921, 20.6562, 0.40839, 6.07811, 0.00719184, 250.256, 107.465
11.3565, 38.1868, -0.339354, 11.4526, 0.0403059, 1124.63, 399.44
12.3614, 32.9076, 0.299102, 12.2814, 0.0332014, 1259.11, 306.504
10.4061, 26.4711, 0.44922, 10.3962, 0.0158248, 1069.59, 349.045
15.08, 17.9566, 0.116768, 15.1275, 0.0359312, 1474.08, 75.2563
11.5008, 33.1425, -0.0835716, 11.4622, 0.0437102, 1176.23, 355.643
14.2946, 31.2996, 0.450609, 14.3949, 0.0338026, 1401.93, 206.64
10.8456, 35.5664, 0.206047, 10.7496, 0.0385904, 1062.49, 408.769
17.6852, 16.1504, -0.266388, 17.8936, 0.0180133, 1475.77, 74.8272
19.1393, 28.5073, 0.0826695, 19.0903, 0.0525729, 1445.7, 153.911
17.5377, 6.94621, -0.15116, 17.6315, 0.00361162, 1488.81, 32.4827
13.0016, 14.6401, 0.220321, 13.0036, 0.00433318, 1473.38, 70.2292
6.20822, 35.7902, -0.336069, 6.37134, 0.02915, 313.694, 221.248
15.9546, 19.3256, 0.298905, 16.0202, 0.0470592, 1471.76, 82.6385
14.3336, 24.0916, 0.373899, 14.3858, 0.0149198, 1451.82, 124.057
11.0125, 22.7704, 0.443513, 11.0068, 0.0146187, 1210.19, 290.892
4.33637, 36.4314, -0.268648, 4.30216, 0.0308654, 93.5916, 65.614
18.0882, 27.2205, 0.162649, 18.0316, 0.04867, 1445.91, 148.51
11.3488, 28.7727, 0.287864, 11.285, 0.0262376, 1195.02, 328.246
3.44352, 8.42789, 0.475586, 3.4527, 0.000147923, 43.961, 7.40477
17.405, 14.2059, -0.0962042, 17.4539, 0.013684, 1478.46, 65.3112
5.67036, 15.8856, -0.243094, 5.763, 0.00298564, 210.683, 69.9062
10.3611, 11.3146, -0.151569, 10.4061, 0.00501159, 1183.87, 205.438
5.87105, 36.9532, -0.372552, 6.04309, 0.0325188, 269.31, 195.524
11.0533, 32.5261, 0.263849, 10.9751, 0.0312013, 1120.24, 376.859
15.2281, 30.9813, 0.362786, 15.3822, 0.143185, 1412.36, 189.487
4.2885, 16.6805, -0.452097, 4.38263, 0.00698387, 91.211, 33.6853
7.50903, 32.2563, 0.216867, 7.4925, 0.01314, 494.127, 336.486
15.6229, 40.124, 0.187973, 15.8242, 0.264973, 1352.42, 281.331
15.3123, 15.5829, 0.244959, 15.349, 0.0279725, 1478.7, 63.0274
14.4985, 29.6763, -0.16421, 14.65, 0.0238833, 1425.59, 169.409
6.0734, 23.9162, -0.138937, 6.15109, 0.00825071, 265.995, 130.447
5.92103, 5.94889, 0.0580361, 5.92628, 0.0003809, 225.004, 28.8746
10.357, 38.3273, 0.395678, 10.2957, 0.0181444, 969.301, 435.637
9.84047, 34.54, 0.34628, 9.77938, 0.0228862, 911.132, 417.667
17.0034, 36.2145, 0.374022, 17.0152, 0.16708, 1372.37, 276.262
15.3703, 32.4022, 0.0718535, 15.5055, 0.140154, 1407.85, 198.898
3.65953, 22.5331, 0.15055, 3.65175, 0.00094476, 55.2237, 22.8061
14.4751, 19.5622, 0.425021, 14.5845, 0.0463526, 1467.51, 90.8901
16.8788, 35.9109, 0.36742, 16.8857, 0.155194, 1372.78, 274.696
17.7706, 13.257, 0.151208, 17.7234, 0.0128225, 1479.24, 62.2014
4.52453, 20.1014, 0.161602, 4.49404, 0.00215621, 102.692, 48.2347
19.893, 21.268, 0.452605, 19.9296, 0.0495409, 1465.66, 107.427
13.0795, 14.8661, 0.288689, 13.0899, 0.00453243, 1473.8, 69.7322
16.2089, 10.9647, 0.395513, 16.2114, 0.00904451, 1483.89, 47.5783
12.9658, 13.2556, 0.402583, 13.0035, 0.00355153, 1478.61, 58.1025
18.3415, 29.7932, -0.354558, 18.6786, 0.0679466, 1439.41, 166.358
12.101, 16.1516, 0.212472, 12.053, 0.0116098, 1420.39, 127.783
